3,0
13,0.4610398
52,0.4610398
68,0.4648883
71,0
72,0.4773784
88,0.4665903
137,0
158,0.4844694
174,0
196,0.460497
209,0
210,0
217,0.4617941
237,0
293,0.4648883
391,0.4606603
553,0
559,0.5077745
668,0
680,0
701,0
702,0
714,0
719,0.3583669
721,0
766,0.3918201
786,0
812,0
852,0
1103,0
1136,0
1213,0.4785625
1221,0
1239,0
1257,0
1267,0
1273,0.4372019
1290,0.4823628
1294,0.4665903
1649,0.4648883
1659,0
1668,0
1706,0.9080952
1742,0.4629911
1759,0
1761,0.4417075
1776,0.4648883
1785,0.439482
1881,0.4648883
1906,0.8027169
2013,0.4596875
2035,0.4610398
2042,0.4596875
2110,0.4705183
2116,0.4782459
2119,0
2152,0.3592227
2497,0
2503,0.4625699
2506,0.4705183
2510,0
2511,0.4665903
2514,0.4809018
2516,0
2518,0
2519,0.4683017
2572,0.4713612
2609,0
2647,0
2686,0
2712,0.4630595
2828,0.2530295
2850,0.4610398
2852,0.4688029
2856,0
2914,0
3152,0.4665903
3209,0
3215,0
3243,0.4773784
3265,0.4773612
3269,0
3292,0
3300,0.46176
3301,0
3302,0.4617435
3313,0.4610398
3314,0.4648883
3320,0
3352,0
3356,0
3363,0.4630595
3462,0
3491,0.3807393
3549,0
3561,0
3633,0.4803615
3651,0
3786,0
4010,0.48194
4134,0
4136,0.4665903
4181,0.4713693
4230,0
4249,0.4160716
4323,0
4538,0
4589,0.3609607
4663,0.3772709
4685,0.4669516
4713,0
4725,0
4761,0.3594881
4766,0
4788,0
4804,0
4808,0
4812,0
4837,0
4847,0
4961,0.4665903
5048,0.4630595
5079,0.4669516
5089,0
5396,0.4630595
5430,0.4713612
5432,0
5607,0
5609,0.4665903
5610,0.380793
5615,0.4654264
5617,0
6075,0.4625699
6127,0.4630595
6128,0
6147,0.3603662
6167,0
6306,0
6315,0.4665903
6316,0.460497
6366,0.4648883
6389,0
6517,0.4617435
6522,0.4630595
6536,0.4665903
6539,0.4641932
6614,0
6621,0.3745108
6677,0.4630595
6700,0.4596875
6703,0.4654264
6730,0.4660233
6739,0.3819936
6805,0
6821,0.4639641
6828,0.46176
6830,0
6939,0.4823628
7004,0.4630595
7018,0
7029,0
7078,0.4665903
7132,0
7297,0.4665903
7377,0
7385,0.4834822
7474,0.4802879
7482,0.4710041
7552,0
7573,0.4610398
7575,0.3166689
7657,0.4629911
7726,0.4639641
7794,0.4665903
7922,0
7992,0.322667
8010,0.4617941
8047,0.4630595
8048,0
8075,0
8092,0.4630595
8151,0
8167,0
8218,0.4630595
8359,0.4728302
8419,0.4610398
8452,0.4423513
8466,0.4630595
8551,0
8565,0.4665903
8607,0.4630595
8612,0.4639675
8708,0.3634483
8762,0.4665903
8781,0.4710041
8803,0.460497
8814,0.4665903
8859,0.4665903
8928,0.4728797
8968,0.4734961
9050,0.4783098
9105,0
9121,0
9143,0
9158,0
9183,0.460497
9198,0.4734961
